Card Name,Passcode / Canonical ID,Deck(s),Quantity,Category,Official Current Text Verified,Primary Source URL,Secondary Source URL,Effect Clauses Count,Mechanics Used,Special Ruling Needed,Ruling Verified,Implementation Status,Test Status,Notes
A Hero Emerges,21597117,Fairy-Tail Tribute Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5915&request_locale=en,,0,gy-interaction; special-summon,R15,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
A Wingbeat of Giant Dragon,28596933,Blue-Eyes Dragon Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5343&request_locale=en,,0,destruction; return-to-hand,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Alexandrite Dragon,43096270,Blue-Eyes Dragon Guard,1,Normal Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=9863&request_locale=en,,0,vanilla-normal-monster,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Apprentice Magician,9156135,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5650&request_locale=en,,0,counters; special-summon; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Aussa the Earth Charmer,37970940,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6335&request_locale=en,,0,control-change; flip-effect; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Back-Up Rider,68833958,Blue-Eyes Dragon Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=11848&request_locale=en,,0,atk-modifier; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Birthright,35539880,Fairy-Tail Tribute Guard,1,Continuous Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=7013&request_locale=en,,0,destruction; gy-interaction; special-summon; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Blue-Eyes White Dragon,89631139,Blue-Eyes Dragon Guard,1,Normal Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4007&request_locale=en,,0,vanilla-normal-monster,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Burst Stream of Destruction,17655904,Blue-Eyes Dragon Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5979&request_locale=en,,0,destruction,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Call of the Haunted,97077563,Blue-Eyes Dragon Guard,1,Continuous Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4989&request_locale=en,,0,destruction; gy-interaction; special-summon; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Cards of Consonance,39701395,Blue-Eyes Dragon Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=8656&request_locale=en,,0,discard-cost; draw,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Castle of Dragon Souls,13513663,Blue-Eyes Dragon Guard,1,Continuous Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=10592&request_locale=en,,0,atk-modifier; banish; gy-interaction; once-per-turn; special-summon; targeting,R19,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Chain Detonation,51449743,Fairy-Tail Tribute Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6915&request_locale=en,,0,chain-link-aware; return-to-hand,R4,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Chain Healing,25050038,Blue-Eyes Dragon Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6914&request_locale=en,,0,chain-link-aware; return-to-hand,R4,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Champion's Vigilance,82382815,Fairy-Tail Tribute Guard,1,Counter Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=9792&request_locale=en,,0,destruction; negation,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Chiron the Mage,16956455,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5810&request_locale=en,,0,destruction; discard-cost; once-per-turn; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Compulsory Evacuation Device,94192409,Blue-Eyes Dragon Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5914&request_locale=en,,0,return-to-hand; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Crystal Seer,82099401,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=7208&request_locale=en,,0,flip-effect,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Damage Condenser,28378427,Blue-Eyes Dragon Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6582&request_locale=en,,0,discard-cost; special-summon,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
